participant,text_id,augmented,score,reading_time,fixation_count,fixation_duration_mean,gaze_dispersion,gaze_valid_ratio,text_gaze_ratio
dario,41,False,9,155.8914189338684,1724.0,1.84597233014229,0.3604682754601049,1.0,0.9106659447753112
dario,42,False,9,107.5927438735962,1173.0,1.9336811327466776,0.3744708041458006,1.0,0.9252782193958664
dario,43,False,10,144.221351146698,1633.0,1.861123481266935,0.3428186142658591,1.0,0.90375854214123
dario,44,False,10,101.50167393684389,1147.0,2.1913106053374536,0.3737970976463005,1.0,0.9308380797396256
dario,45,False,7,154.44770789146423,1789.0,2.0349398700284285,0.361943306593879,1.0,0.9161425576519916
dario,46,False,10,95.4547848701477,1065.0,1.969918468263414,0.3727722773630529,1.0,0.9082167832167832
dario,47,False,8,148.12618613243103,1662.0,1.6869505128742737,0.3777988764128246,1.0,0.9080267558528428
dario,48,False,8,109.832946062088,1252.0,2.0087260872709987,0.3911458071123355,1.0,0.9246268656716418
dario,49,False,8,149.54319787025452,1705.0,2.1835723146796227,0.3533764201812461,1.0,0.9384615384615383
dario,50,False,10,99.09763407707214,1123.0,1.9211611996094389,0.3737499442945667,1.0,0.900497512437811
kushal,39,False,8,120.40902304649352,647.0,0.9969816948603658,0.4103610892632547,1.0,0.0568603213844252
kushal,40,False,9,130.35541605949402,856.0,2.326702311353864,0.3234538352412871,1.0,0.3912111468381565
kushal,41,False,9,121.76278305053712,779.0,2.49382409842118,0.3537125491327512,1.0,0.7900943396226415
kushal,42,False,10,76.90127801895142,508.0,2.3393532276153564,0.3310923998582248,1.0,0.8496376811594203
kushal,43,False,8,105.06360507011414,1074.0,2.0991571456828018,0.323702133010039,1.0,0.8801399825021873
kushal,44,False,10,60.38384222984314,512.0,4.948532342910767,0.1412921384473645,1.0,0.0
kushal,45,False,8,130.1663429737091,295.0,13.935245143042671,0.1029978444424557,1.0,0.0
kushal,46,False,7,56.7989490032196,334.0,2.469195008277893,0.3458309062149792,1.0,0.8159340659340659
kushal,47,False,10,102.28500699996948,558.0,2.138013168822887,0.3922924870130959,1.0,0.5896607431340872
kushal,48,False,9,105.67139887809752,939.0,1.4976186640560627,0.3430403910727345,1.0,0.7002909796314258
kushal,49,False,9,114.92637586593628,1114.0,1.4608685130804355,0.3276203564314275,1.0,0.7194127243066885
kushal,50,False,9,68.75013017654419,841.0,3.4825316479331567,0.1782993401640398,1.0,0.970183486238532
kushal,51,False,8,110.6218991279602,753.0,1.6542677650084865,0.3489407009080132,1.0,0.5218446601941747
kushal,52,False,10,84.42862105369568,524.0,1.7029023577527302,0.3275380354712875,1.0,0.4860627177700348
kushal,53,False,8,111.96535897254944,740.0,2.7382939962240367,0.3899493877406551,1.0,0.80875
kushal,54,False,10,62.6595139503479,573.0,1.5881206103733607,0.1129058824912293,1.0,0.0
kushal,55,False,8,117.20725107192992,783.0,2.6413431384346704,0.3855009190019365,1.0,0.890625
kushal,56,False,10,77.23150300979614,423.0,1.590343096039512,0.3782312627282191,1.0,0.6536082474226804
kushal,57,False,7,106.15121603012084,459.0,1.9938169970656887,0.3835446010864741,1.0,0.6992031872509961
kushal,58,False,10,86.83644604682922,311.0,2.6973954477617816,0.4168734476178269,1.0,0.5417867435158501
kushal,59,False,7,104.76636600494383,803.0,1.4205603823065758,0.3653704009957295,1.0,0.5301339285714286
sudhin,64,False,10,171.10565495491028,1901.0,2.0803797709477414,0.2951528956786671,1.0,0.8054455445544555
sudhin,65,False,7,173.77769303321838,1132.0,2.3138456561348657,0.3709579608354141,1.0,0.6655844155844156
sudhin,66,False,9,132.86223697662354,1454.0,1.6275170163104409,0.2820622022900643,1.0,0.7602827763496144
sudhin,67,False,8,159.84450912475586,1635.0,3.2561465425694243,0.3525323846937919,1.0,0.8834212067955477
sudhin,68,False,10,112.03979396820068,566.0,5.446399176120758,0.3414745924557445,1.0,0.8013468013468014
sudhin,69,False,6,108.71756505966188,884.0,1.322437410923972,0.3305831467906089,1.0,0.6157786885245902
sudhin,70,False,10,125.14768314361572,1337.0,1.494511414796878,0.3169261048600419,1.0,0.7294853963838664
sudhin,71,False,10,153.63082885742188,605.0,5.19174542597362,0.3533669594849585,1.0,0.3608087091757387
sudhin,72,False,9,121.50953078269958,368.0,4.285798408367016,0.4387679014872722,1.0,0.4485294117647059
sudhin,73,False,9,112.17784285545348,961.0,2.378043971410612,0.3552941272424906,1.0,0.7958783120706575
sudhin,74,False,9,98.2996950149536,853.0,4.340951681137085,0.3633130463370464,1.0,0.8386004514672686
sudhin,75,False,10,141.9452929496765,1243.0,3.1727782016576724,0.2853618040376296,1.0,0.8463901689708141
sudhin,76,False,10,136.5437479019165,1030.0,2.2756686082908084,0.3847682894814141,1.0,0.6193433895297249
sudhin,77,False,9,132.88598108291626,361.0,6.4943035025345655,0.4722257252449717,1.0,0.4739583333333333
sudhin,78,False,9,91.1623239517212,518.0,2.002880055729936,0.3646534297835464,1.0,0.4653979238754325
sudhin,79,False,7,111.1846239566803,603.0,2.690170074120546,0.3616441284667308,1.0,0.8228228228228228
dario,41_aug1,True,9,156.58492131819096,1687.0,1.96824481606787,0.36599045543647013,1.0,0.8831911158284046
dario,41_aug2,True,9,155.17168575714143,1723.0,1.7069842091145737,0.3656313373987624,1.0,0.9120591337413322
dario,41_aug3,True,9,156.95541850949493,1693.0,1.9060536189838928,0.354838548759002,1.0,0.9096125524763715
dario,41_aug4,True,9,154.34169857365632,1768.0,1.8207945383992306,0.3579535061075563,1.0,0.9218971949546244
dario,41_aug5,True,9,156.83075272657925,1739.0,2.1949151762571244,0.35808215909143626,1.0,0.8934960642846086
dario,41_aug6,True,9,158.4608350541168,1720.0,1.7090839867313754,0.35562763708526957,1.0,0.9263479464580857
dario,41_aug7,True,9,154.37679241812972,1732.0,1.8649841779954237,0.361752225164863,1.0,0.9153836119045357
dario,41_aug8,True,9,156.04522142455457,1734.0,1.9488293595402877,0.35191312072101927,1.0,0.9007415002959653
dario,41_aug9,True,9,155.2652255895132,1777.0,1.7049007674622367,0.36615316587550184,1.0,0.9036001686152263
dario,41_aug10,True,9,157.2255961479203,1749.0,1.975233951940143,0.3584208643913424,1.0,0.9287684724636109
dario,41_aug11,True,9,152.98809790048392,1684.0,1.6961641649643258,0.3633871720102351,1.0,0.9252345713689425
dario,41_aug12,True,9,156.2522377427782,1746.0,1.7955698914021898,0.36315006335474015,1.0,0.903005831649336
dario,41_aug13,True,9,153.169820111276,1741.0,1.7694916857558236,0.36054163008531886,1.0,0.9200873552768826
dario,41_aug14,True,9,155.6672768595761,1709.0,1.8329836856101291,0.3505617116030369,1.0,0.8827581598608161
dario,41_aug15,True,9,156.80126087527466,1692.0,1.7843575631531148,0.36809621680824406,1.0,0.9262268670464188
dario,41_aug16,True,9,155.42386576512112,1690.0,1.790733005809134,0.3654018357880408,1.0,0.9198318971144585
