timestamp,x,y,radius_px,in_text_region
16886.189903,0.695573,0.427708,54.6,1
16886.273597,0.695573,0.427708,54.6,1
16886.356704,0.695573,0.427708,54.6,1
16886.439892,0.695573,0.427708,54.6,1
16886.523848,0.695573,0.427708,54.6,1
16886.607009,0.695573,0.427708,54.6,1
16886.708602,0.695573,0.427708,54.6,1
16886.796721,0.695573,0.427708,54.6,1
16886.878979,0.695573,0.427708,54.6,1
16886.954285,0.695573,0.427708,54.6,1
16887.030951,0.695573,0.427708,54.6,1
16887.114656,0.695573,0.427708,54.6,1
16887.198312,0.695573,0.427708,54.6,1
16887.282253,0.695573,0.427708,54.6,1
16887.365607,0.695573,0.427708,54.6,1
16887.450680,0.695573,0.427708,54.6,1
16887.538347,0.695573,0.427708,54.6,1
16887.622486,0.695573,0.427708,54.6,1
16890.272974,0.484635,0.721296,74.8,0
16890.356086,0.484635,0.721296,74.8,0
16890.439748,0.484635,0.721296,74.8,0
16898.145611,0.467187,0.130556,86.8,0
16898.230544,0.485156,0.130556,57.2,0
16898.319433,0.483073,0.130556,60.4,0
16898.405379,0.468750,0.130556,84.1,0
16898.485999,0.061979,0.741667,91.7,0
16898.568140,0.061008,0.745120,91.8,0
16898.651017,0.061008,0.745120,91.8,0
16898.734531,0.061008,0.745120,91.8,0
16898.816046,0.061280,0.744153,91.7,0
16898.901692,0.061552,0.743185,91.7,0
16898.986311,0.467448,0.130556,86.4,0
16899.068018,0.469010,0.130093,83.9,0
16899.151500,0.469010,0.129630,84.1,0
16899.235707,0.481510,0.129630,63.4,0
16899.316057,0.481771,0.129630,63.0,0
16899.403503,0.482292,0.129630,62.2,0
16899.482856,0.483594,0.129630,60.2,0
16899.568944,0.483594,0.129630,60.2,0
16899.650728,0.484896,0.129630,58.3,0
16899.734640,0.489248,0.130522,51.4,0
16899.817971,0.145100,0.216204,247.6,0
16900.152177,0.153766,0.219213,256.0,0
16900.232138,0.149831,0.216204,256.2,0
16900.317913,0.149831,0.216204,256.2,0
16900.398411,0.149831,0.216204,256.2,0
16900.486763,0.149831,0.216204,256.2,0
16900.568216,0.147569,0.217939,256.7,0
16900.649867,0.146125,0.215863,256.3,0
16900.733060,0.146125,0.215863,256.3,0
16900.817024,0.146125,0.215863,256.3,0
16900.899460,0.146125,0.215863,256.3,0
16900.983034,0.146125,0.215863,256.3,0
16901.065849,0.146125,0.215863,256.3,0
16901.150109,0.146125,0.215863,256.3,0
16901.232228,0.146125,0.215863,256.3,0
16901.318080,0.146125,0.215863,256.3,0
16901.404137,0.146225,0.216425,256.2,0
16901.485036,0.146288,0.216782,256.1,0
16901.572527,0.146488,0.218056,255.7,0
16901.652737,0.141114,0.219295,246.1,0
16901.973658,0.073438,0.129167,69.8,0
16902.056923,0.075000,0.128704,65.8,0
16902.132481,0.076823,0.125926,61.5,0
16902.214671,0.076563,0.125926,61.0,0
16904.460036,0.619908,0.707964,280.6,1
16904.540539,0.665448,0.351476,75.1,1
16943.718917,0.878906,0.919256,87.2,1
16943.795473,0.878906,0.919256,87.2,1
16943.872606,0.878906,0.919256,87.2,1
16943.955746,0.878906,0.919256,87.2,1
16944.036327,0.878906,0.919256,87.2,1
16944.112585,0.878906,0.919256,87.2,1
16944.187174,0.878906,0.919256,87.2,1
16944.265148,0.878906,0.919256,87.2,1
16944.345674,0.842187,0.912500,151.6,1
16944.421357,0.842187,0.912500,151.6,1
16944.504595,0.842187,0.912500,151.6,1
16944.587796,0.842187,0.912500,151.6,1
16944.670866,0.842187,0.912500,151.6,1
16944.745609,0.842187,0.912500,151.6,1
16944.821320,0.842187,0.912500,151.6,1
16944.908420,0.842187,0.912500,151.6,1
